adoptType,createTime,dataInfoOperator,dataInfoState,dataInfoTime,entryWay,id,infoSource,infoType,modifyTime,provinceId,pubDate,pubDateStr,sourceUrl,summary,title
1,1582167379000,,0,1582167379000,1,5449,人民日报,1,1582167379000,1,1582167016000,12分钟前,http://m.weibo.cn/2803301701/4473995094751309,"据日本广播协会电视台20日报道，2名在“钻石公主”号邮轮上感染冠肺炎的患者死亡。这首次出现在“钻石公主”号邮轮感染新冠肺炎后死亡的病例。截至目前，日本国内新冠肺炎死亡病例增至3例。
",钻石公主号2名新冠肺炎感染者死亡
1,1582166419000,,0,1582166419000,1,5446,人民日报,1,1582166419000,100,全国,1582166267000,24分钟前,http://m.weibo.cn/2803301701/4473991953264899,"2月19日0-24时，上海、江苏、辽宁、福建、山西、贵州、宁夏、云南、青海、新疆、西藏报告无新增新冠肺炎确诊病例；19日8时—20日8时，内蒙古报告无新增确诊病例；18日20时至19日20时，甘肃报告无新增确诊病例。且其余省区市新增确诊病例均为个位数。
",全国13地新增病例为0
1,1582164617000,,0,1582164617000,1,5438,人民网,1,1582164617000,100,全国,1582164273000,58分钟前,http://m.weibo.cn/2286908003/4473983589954353,"据国家卫健委数据统计，2月19日0—24时，全国除湖北以外地区新增确诊病例45例，连续第16日呈下降态势。前几日这一数据分别为：890例（3日）、731例（4日）、707例（5日)、696例（6日）、558例（7日）、509例（8日）、444例（9日）、381例（10日）、377例（11日）、312例（12日）、267例（13日）、221例（14日）、166例（15日）、115例（16日），79例（17日），56例（18日）。
",湖北以外新增病例16连降
1,1582164255000,,0,1582164255000,1,5435,人民日报,1,1582164255000,100,全国,1582163974000,1小时前,http://m.weibo.cn/2803301701/4473982336318492,2月19日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例394例，新增死亡病例114例，新增疑似病例1277例。截至2月19日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例56303例，累计治愈出院病例16155例，累计死亡病例2118例，累计报告确诊病例74576例，现有疑似病例4922例。累计追踪到密切接触者589163人，尚在医学观察的密切接触者126363人。,全国新增394例新冠肺炎，累计确诊新冠肺炎74576例
1,1582163814000,,0,1582163814000,1,5432,央视新闻,1,1582163814000,1,1582163619000,1小时前,http://m.weibo.cn/2656274875/4473980846903958,据韩国卫生部门消息：截至当地时间20日上午9时，韩国新型冠状病毒感染者人数已达82人。新增的31例确诊患者中，有30人来自韩国南部的大邱市及周边的庆尚北道地区。经初步流行病学调查，18日该地区出现首例确诊病例，此后新增的确诊感染者大部分都与其有关联。,韩国累计确诊82例新冠肺炎
1,1582162387000,,0,1582162387000,1,5423,陕西卫健委,1,1582162387000,61,陕西省,1582162387000,1小时前,http://sxwjw.shaanxi.gov.cn/art/2020/2/20/art_9_68169.html,截至2月20日9时，陕西新增3例新冠肺炎确诊病例，新增疑似病例8例，死亡1例。新增确诊病例中，西安市2例、安康市1例。陕西累计报告新冠肺炎确诊病例245例（105例治愈出院）。全省新增密切接触者383人，累计17654人，均集中医学观察。新增解除密切接触者493人，累计解除密切接触者12606人。,陕西新增3例确诊病例，累计245例
1,1582160583000,,0,1582160583000,1,5414,江西卫健委,1,1582160583000,36,江西省,1582160583000,1小时前,http://hc.jiangxi.gov.cn/doc/2020/02/20/139215.shtml,"2020年2月19日0-24时，江西省报告新型冠状病毒肺炎新增确诊病例1例，新增治愈出院病例70例。截至2月19日24时，江西省现有住院确诊病例501例。累计报告新型冠状病毒肺炎确诊病例934例，其中治愈出院病例432例，死亡病例1例。目前追踪到密切接触者25287人，解除医学观察22166人，尚有3121人正在接受医学观察。
",江西新增1例 ，累计934例
1,1582161179000,,0,1582161179000,1,5419,浙江卫健委,1,1582161179000,33,浙江省,1582160580000,1小时前,https://www.zjwjw.gov.cn/art/2020/2/20/art_1202101_41949223.html," 2020年2月19日0-24时，浙江省报告新型冠状病毒肺炎新增确诊病例2例，新增出院病例65例。 截至2月19日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1175例，现有重症病例57例，累计出院609例。全省共追踪到密切接触者39900人，当日解除医学观察1018人，尚有5732人正在接受医学观察。
",浙江新增2例，累计1175例
1,1582161190000,,0,1582161190000,1,5420,宁夏卫健委,1,1582161190000,64,宁夏回族自治区,1582160460000,2小时前,http://wsjkw.nx.gov.cn/info/1262/14578.htm,"2020年2月19日0-24时，全区无新增新型冠状病毒肺炎确诊病例。截至2月19日24时，全区现有确诊病例29例，累计出院病例42例。目前，累计解除隔离医学观察2928人,尚集中隔离医学观察1140人。
",宁夏无新增确诊，累计确诊29例
1,1582160061000,,0,1582160061000,1,5411,青海卫健委,1,1582160061000,63,青海省,1582160061000,2小时前,https://wsjkw.qinghai.gov.cn/ztbd/yqjk/yqtb/2020/02/20/1582159175806.html,"2020年2月19日0-24时，青海省报告新型冠状病毒肺炎新增确诊病例0例，新增重症病例0例，新增死亡病例0例，新增出院病例1例。 截至2月19日24时，青海省累计报告新型冠状病毒肺炎确诊病例18例，目前累计追踪到密切接触者437人，已解除医学观察382人，尚有55人正在接受医学观察。
	",青海无新增确诊，新增出院1例，累计18例确诊
1,1582160061000,,0,1582160061000,1,5412,河南卫健委,1,1582160061000,41,河南省,1582160061000,2小时前,http://www.hnwsjsw.gov.cn/contents/858/48613.shtml,"2020年2月19日0-24时，河南省新增新型冠状病毒肺炎确诊病例4例,新增出院病例62例。截至2月19日24时，全省累计报告新型冠状病毒肺炎确诊病例1265例，目前累计追踪到密切接触者37617人，2月19日已解除观察6334人，诊断为疑似53人，共有7498人正在接受医学观察。
 ",河南新增4例，累计1265例
1,1582160583000,,0,1582160583000,1,5413,广东卫健委,1,1582160583000,44,广东省,1582159817000,2小时前,http://wsjkw.gd.gov.cn/xxgzbdfk/yqtb/content/post_2902343.html,截至2月19日24时，全省累计报告新冠肺炎确诊病例1332例。19日当天全省新增确诊病例1例，为东莞市1例。新增出院病例中，5例为重型病例治愈出院，其他为普通型或者轻型治愈出院。另有疑似病例1例。有2172名密切接触者正在接受医学观察。,广东新增1例，累计1332例
1,1582160583000,,0,1582160583000,1,5415,辽宁卫健委,1,1582160583000,21,辽宁省,1582159800000,2小时前,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200220_3745133.html,2020年2月19日0时至24时，辽宁省无新增新型冠状病毒肺炎确诊病例。全省累计报告新型冠状病毒肺炎确诊病例121例，治愈出院58例，死亡1例。目前累计追踪到密切接触者2716人，已解除医学观察2328人，现有388人正在接受医学观察。,辽宁无新增确诊，累计121确诊
1,1582160061000,,0,1582160061000,1,5410,江苏卫健委,1,1582160061000,32,江苏省,1582159743000,2小时前,http://wjw.jiangsu.gov.cn/art/2020/2/20/art_7290_8978359.html,"2020年2月19日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例29例。新增重型病例1例（原为普通型病例）, 1例重型病例转为普通型病例。",江苏无新增确诊病例，新增出院29例
1,1582160050000,,0,1582160050000,1,5408,湖南卫健委,1,1582160050000,43,湖南省,1582159080000,2小时前,http://wjw.hunan.gov.cn/wjw/qwfb/202002/t20200220_11185419.html,"2020年2月19日0-24时，湖南省报告新型冠状病毒肺炎新增确诊病例2例，新增重症病例1例，新增死亡病例0例，新增出院病例36例。目前追踪到密切接触者26483人，已解除医学观察24234人，尚有2249人正在接受医学观察。

			",湖南新增2例，累计1010例
1,1582159047000,,0,1582159047000,1,5402,吉林卫健委,1,1582159047000,22,吉林省,1582159047000,2小时前,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200220_6841029.html,2月19日0-24时，全省新增确诊病例1例，为重症病例。新增治愈出院4例。截至2月19日24时，全省累计报告确诊病例91例，累计治愈出院40例，现在院隔离治疗确诊病例50例。上述确诊病例的密切接触者3832人，已解除医学观察3372人，正在指定地点隔离或居家隔离医学观察460人。,吉林新增1例，累计91例
1,1582159035000,,0,1582159035000,1,5401,北京卫健委,1,1582159035000,11,北京市,1582159035000,2小时前,http://wjw.beijing.gov.cn/xwzx_20031/xwfb/202002/t20200220_1662461.html," 2月19日0时至24时，本市新增2例新冠肺炎确诊病例，均为确诊病例的密切接触者，已送至定点医疗机构进行救治。新增疑似病例25例，现有疑似病例125例。新增密切接触者16例，累计确定密切接触者2091例，其中1419例已解除医学观察。治愈出院8例。截至2月19日24时，本市累计确诊病例395例。
                ", 北京新增2例确诊病例，累计395例
1,1582159551000,,0,1582159551000,1,5403,福建卫健委,1,1582159551000,35,福建省,1582159020000,2小时前,http://wjw.fujian.gov.cn/ztzl/gzbufk/yqtb/202002/t20200220_5199154.htm,"2月19日0—24时，福建省报告新增新型冠状病毒肺炎确诊病例0例，新增治愈出院病例16例，死亡病例1例。截至2月19日24时，福建省累计报告新型冠状病毒肺炎确诊病例293例（危重型7例、重型7例，死亡病例1例）。目前，确诊、疑似病例的密切接触者已解除医学观察8566人，尚有2226人正在接受医学观察。
                ",福建无新增确诊，累计293例         
1,1582160594000,,0,1582160594000,1,5417,贵州卫健委,1,1582160594000,52,贵州省,1582158958000,2小时前,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/yqdt/202002/t20200220_50274143.html,"2020年2月19日12—24时，全省新型冠状病毒肺炎无新增确诊病例,新增治愈出院病例2例，全省累计报告新型冠状病毒肺炎病例146例。累计追踪密切接触者2574人，已解除医学观察2154人，尚在接受医学观察342人。
        ",贵州无新增确诊，累计确诊146
1,1582158544000,,0,1582158544000,1,5397,四川卫健委,1,1582158544000,51,四川省,1582158544000,2小时前,http://wsjkw.sc.gov.cn/scwsjkw/gzbd01/2020/2/20/2c138f9dbc1e484a9276bfb41df843a1.shtml,"2月19日0-24时，我省新型冠状病毒肺炎新增确诊病例6例，新增疑似病例26例，新增治愈出院病例21例，无新增死亡病例。截至2月20日0时，我省累计报告新型冠状病毒肺炎确诊病例520例，正在住院隔离治疗319人（其中危重17人），已治愈出院198人，死亡3人。当日解除医学观察606人，现有2458人正在接受医学观察。
",四川新增6例，累计520例
1,1582159034000,,0,1582159034000,1,5399,安徽卫健委,1,1582159034000,34,安徽省,1582158360000,2小时前,http://wjw.ah.gov.cn/news_details_55156.html," 2020年2月19日0-24时，安徽省报告新增确诊病例1例，无新增疑似病例，新增治愈出院病例63例。截至2月19日24时，安徽省累计报告确诊病例987例，累计治愈出院病例424例，累计死亡病例6例，累计医学观察密切接触者25646人，尚在医学观察3245人。
",安徽新增1例，累计987例
0,1582157461000,,0,1582157461000,0,5394,广西卫健委,1,1582157461000,45,广西壮族自治区,1582157626000,2小时前,,"2月19日0-24时，我区共新增新型冠状病毒肺炎确诊病例1例（防城港市1例）；新增疑似病例17例；新增治愈出院病例11例；无新增死亡病例。目前全区累计报告确诊病例245例，累计出院病例87例，累计死亡病例2例。本日追踪到密切接触者147人，现有1381人正在接受医学观察。
",广西新增1例，累计245例
1,1582157290000,,0,1582157290000,1,5392,内蒙古卫健委,1,1582157290000,15,内蒙古自治区,1582156887000,3小时前,http://wjw.nmg.gov.cn/doc/2020/02/20/292709.shtml,"2020年2月19日8时至20日8时，内蒙古自治区报告无新增新冠肺炎确诊病例，无新增疑似病例，新增出院病例2例，2例重症病例转为普通病例。截至2月20日8时，内蒙古自治区累计报告新冠肺炎确诊病例75例，出院病例11例，重症病例2例，危重病例6例。
",内蒙古无新增确诊，累计75例
1,1582156670000,,0,1582156670000,1,5391,黑龙江卫健委,1,1582156670000,23,黑龙江省,1582156669000,3小时前,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7975/navid/42/stypeid/,"2020年2月19日0-24时,黑龙江省报告新型冠状病毒肺炎新增确诊病例6例。新增治愈出院病例15例。新增疑似病例4例。截至2月19日24时,黑龙江省报告新型冠状病毒肺炎确诊病例476例；现有重症病例70例。全省当日发热门诊诊疗人数2240人。目前追踪到密切接触者15574人, 已解除医学观察12438人，尚有2939人正在接受医学观察。
",黑龙江新增6例，累计476例
1,1582154293000,,0,1582154293000,1,5388,人民网,1,1582154293000,42,湖北省,1582154016000,3小时前,http://m.weibo.cn/2286908003/4473940569446281,"2020年2月19日0—24时，湖北新增出院1209例。截至2020年2月19日24时，湖北累计治愈出院10337例。
",好消息！湖北累计治愈出院人数过万
1,1582153642000,,0,1582153642000,1,5386,重庆卫健委,1,1582153642000,50,重庆市,1582153642000,3小时前,http://wsjkw.cq.gov.cn/yqxxyqtb/20200220/255218.html,2020年2月19日0—24时，重庆市报告新冠肺炎新增确诊病例5例，新增治愈出院病例20例。截至2月19日24时，重庆市现有在院确诊病例281例，累计死亡病例5例，累计治愈出院病例274例，累计报告确诊病例560例。累计追踪到密切接触者22700人，已解除医学观察20385人，尚有2315人正在接受医学观察。,重庆新增确诊5例，累计560例，新增治愈出院20例
1,1582153934000,,0,1582153934000,1,5387,人民网,1,1582153934000,42,湖北省,1582153632000,3小时前,http://m.weibo.cn/2286908003/4473938958829866,2020年2月19日0—24时，全省新增新冠肺炎确诊病例349例。截至2020年2月19日24时，湖北省累计报告新冠肺炎病例62031例。全省累计治愈出院10337例。全省累计病亡2029例，目前仍在院治疗43745例，其中：重症9128例、危重症2050例，均在定点医疗机构接受隔离治疗。,湖北新增349例累计62031例，新增病例降至三位数
1,1582151178000,,0,1582151178000,1,5380,人民日报,1,1582151178000,1,1582150951000,4小时前,http://m.weibo.cn/2803301701/4473927718035126,据伊朗《德黑兰时报》报道，伊朗卫生部今天证实，伊朗境内出现两例新型冠状病毒肺炎确诊病例，两名患者均来自什叶派圣城库姆。随后，伊朗卫生部发言人贾汉普尔在其推特上证实，因年龄和免疫能力等原因，两名患者已死亡。,伊朗首现新冠肺炎死亡病例
1,1582137389000,,0,1582137389000,1,5379,云南卫健委,1,1582137389000,53,云南省,1582137389000,8小时前,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158213709322465262,2月19日12时至24时，无新增确诊病例。截至2月19日24时，全省累计确诊病例172例（昆明市核减1例），治愈出院60例，死亡1例，现有确诊病例111例，其中危重症2例，重症9例。现有疑似病例61例。密切接触者当日解除医学观察682人，正在观察1613人。,云南无新增，累计确诊172例
