city,district,street,place,location,remark,source,link,is_today,province
韶关,新丰县,,龙围市场,"114.207955,24.055116",,韶关卫生健康局,https://www.sg.gov.cn/xw/ztjj/yqfkyz/zxyq/content/post_1760064.html,0,广东省
韶关,新丰县,,大润欢超市,"114.212383,24.062218",,韶关卫生健康局,https://www.sg.gov.cn/xw/ztjj/yqfkyz/zxyq/content/post_1760064.html,0,广东省
韶关,新丰县,,中心市场,"114.207951,24.057551",,韶关卫生健康局,https://www.sg.gov.cn/xw/ztjj/yqfkyz/zxyq/content/post_1760064.html,0,广东省
韶关,新丰县,,西门广客隆,,,韶关卫生健康局,https://www.sg.gov.cn/xw/ztjj/yqfkyz/zxyq/content/post_1760064.html,0,广东省
韶关,新丰县,,丰城街道,"114.20701,24.059519",,韶关卫生健康局,https://www.sg.gov.cn/xw/ztjj/yqfkyz/zxyq/content/post_1760064.html,0,广东省
韶关,曲江区,,曲江区,"113.604624,24.682242",,韶关卫生健康局,https://www.sg.gov.cn/xw/ztjj/yqfkyz/zxyq/content/post_1756096.html,0,广东省
韶关,浈江区,,浈江区,"113.611284,24.804121",,韶关卫生健康局,https://www.sg.gov.cn/xw/ztjj/yqfkyz/zxyq/content/post_1754923.html,0,广东省
韶关,乐昌市,,白石镇新田村委会带头组,"113.2328,25.428342",,韶关发布,https://mp.weixin.qq.com/s/byOBjYcuIE-ozN5-5j2NjQ,0,广东省
韶关,乐昌市,,乐城街道长迳村何家组,"113.388768,25.163076",,韶关发布,https://mp.weixin.qq.com/s/byOBjYcuIE-ozN5-5j2NjQ,0,广东省
河源,源城区,,河源大道北,"114.688353,23.758701",,河源发布,https://mp.weixin.qq.com/s/qVcPv1s491KY6BfXb7BGDg,0,广东省
河源,源城区,,越王大道,"114.720984,23.769719",,河源发布,https://mp.weixin.qq.com/s/qVcPv1s491KY6BfXb7BGDg,0,广东省
河源,源城区,,坚基商业中心,"114.721269,23.771009",,河源发布,https://mp.weixin.qq.com/s/qVcPv1s491KY6BfXb7BGDg,0,广东省
河源,源城区,,源西街道白岭头高屋村,"114.706763,23.78781",,河源发布,https://mp.weixin.qq.com/s/qVcPv1s491KY6BfXb7BGDg,0,广东省
河源,源城区,,旺福路出租屋,"114.706392,23.743599",,河源卫生健康,https://mp.weixin.qq.com/s/hywpRGEm_OJepGkhPbqYOQ,0,广东省
河源,东源县,,船塘镇三河积良下村,"114.906602,24.219507",,河源卫生健康,https://mp.weixin.qq.com/s/yCMbVMLBuXAhTNhtzZeY7w,0,广东省
揭阳,普宁市,,流沙郭厝寮普宁泰嵘医药有限公司,"116.20456,23.312094",,揭阳发布,https://mp.weixin.qq.com/s/y9lpITTKuZivPJB9l55ORg,0,广东省
揭阳,普宁市,,高铁站如家酒店,"116.203545,23.293057",,揭阳发布,https://mp.weixin.qq.com/s/y9lpITTKuZivPJB9l55ORg,0,广东省
揭阳,普宁市,,翡翠明珠酒店,"116.156497,23.297634",,揭阳发布,https://mp.weixin.qq.com/s/y9lpITTKuZivPJB9l55ORg,0,广东省
揭阳,揭西县,,揭西县,"115.841475,23.43128",,揭阳发布,https://mp.weixin.qq.com/s/TndLruxymZlVFM7oT-tbmQ,0,广东省
揭阳,揭东区,,云路镇北洋市场,"116.473324,23.586246",,揭阳发布,https://mp.weixin.qq.com/s/XwNjdNq5T1j_yI4r5o5gTQ,0,广东省
揭阳,揭东区,,玉窖镇池渡村,"116.492394,23.56041",,揭阳发布,https://mp.weixin.qq.com/s/XwNjdNq5T1j_yI4r5o5gTQ,0,广东省
揭阳,揭东区,,池渡村,"116.492394,23.56041",,揭阳发布,https://mp.weixin.qq.com/s/XwNjdNq5T1j_yI4r5o5gTQ,0,广东省
清远,英德市,,青塘集贸市场,"113.852738,24.207837",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,广东省
清远,英德市,,青塘建新村委会陈屋村,"112.042784,24.24712",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,广东省
清远,佛冈县,,银座超市,"113.533219,23.87053",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,广东省
清远,阳山县,,城南海逸华庭,"112.635446,24.475624",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,广东省
