body,id,mainSummary,rumorType,score,sourceUrl,summary,title
近日，「温州 490 例里有 40% 是全新变异的病毒，疾控中心现在要排查 3 万多人从温州回广东的这批人」这一谣言在广州地区用户微信群转发。广州疾控中心表示，我国最新研究表明：新型冠状病毒未发生明显的变异。对新型冠状病毒的密切监测也表明，不论是环境中分离的病毒，还是前期在人体中分离的病毒，再到近日分离的病毒，均未发现明显的变异。,160,广州疾控中心辟谣：新型冠状病毒未发生明显的变异,0,1000,,,温州确诊病例有 40% 是变异病毒？
在国家卫健委印发的《新型冠状病毒感染的肺炎诊疗方案（试行第六版）》中并未提到「蜂疗」治疗及效果。在武汉协和医院发布的治疗方案中，确实提到了蜂蜜，但也仅仅是针对咳嗽咽喉痛的对症治疗。,161,丁香医生团队辟谣：目前没有证据表明蜂疗能治愈新冠肺炎,0,168,,,蜂疗能治愈新冠肺炎？
"2 月 13 日，南京医科大学附属苏州医院团队在 Medrxiv 网站发布了一项研究，提到受新型冠状病毒感染的患者可能出现肾脏功能损伤、睾丸功能损伤。

但本论文尚未经过同行评议，也未在正式期刊上发表，所以这并不是一个定论，保持关注就好，无需过度解读和恐慌。",157,丁香医生团队：目前仅有一篇论文提到，并非定论,2,167,,,新冠病毒可能伤睾丸和伤肾？
在 2 月 18 日广东省召开的新闻发布会上，钟南山院士表示「目前专家推荐的磷酸氯喹还谈不上是特效药，但是有一定的帮助，是非常值得探讨的。」丁香医生在此提醒，磷酸氯喹是用于治疗新冠肺炎，非预防用药，请勿哄抢，没病不要乱吃药。,159,钟南山院士：目前磷酸氯喹还谈不上是特效药，但是有一定的帮助,2,166,,,磷酸氯喹是新冠肺炎特效药？
市场上常用的空气净化器，主要适用于空气中的污染物，并没有对病毒或其他病原微生物有杀灭率的要求，作为刚发现不久的新冠病毒，也缺乏相关研究。空气净化器可以用，但要预防病毒感染，还是得尽量多通风。,158,中国疾控中心研究员冯录召：不一定有效，仍然建议多通风,2,165,,,家用空气净化器能过滤病毒吗？
"精油是一般是从天然植物中，通过一些特殊的方法提炼萃取出来的化合物，目前在我国，精油是按照化妆品进行备案监管的。

据我国现行《化妆品卫生监督条例》第十四条规定，化妆品不得宣传疗效，不得使用医疗术语，广告宣传中不得宣传医疗作用。

目前也没有证据显示精油芳疗可以预防新冠肺炎。",156,丁香医生团队辟谣：或许可以调节心情，但并不能预防新冠肺炎,0,164,,,精油芳疗可以预防新冠肺炎？
2 月 7 日，财政部副部长余蔚平在新闻发布会上说，对确诊患者个人负担费用实行财政兜底，其中，中央财政补助 60%；对疑似患者，由就医地制定财政补助政策，中央财政视情给予适当补助。丁香医生团队向政府相关部门求证：确诊患者不需要自己承担费用，各级财政会进行兜底。我们也在此呼吁：千万不要因为钱的问题逃避治疗！,127,丁香医生团队辟谣：确诊患者不需要自己承担费用，各级财政会进行兜底,0,163,,,确诊患者治疗要自费 40%？
丁香医生再次强调，到目前为止，还没有专门用于预防和治疗新冠病毒的药物，这些偏方也未经科学验证。好好的几个食材偏要一起熬水，又难喝又没用，何必折腾自己呢。勤洗手，戴口罩，不去人多的地方，就是最好的预防手段。,153,丁香医生团队辟谣：又难喝又没用，何必折腾自己呢,0,162,,,红糖和姜葱蒜熬水喝可防新冠病毒？
传言「猫狗在与人相处的过程中会加强人类的冠状病毒抗体，所以养猫狗可以预防新冠病毒感染。」猫狗的确会感染冠状病毒，不过冠状病毒有很多种，它们感染的主要是冠状病毒 α 属中的猫 / 犬冠状病毒。严重危害人类健康的冠状病毒主要是 β 属，比如 SARS 病毒和现在的新冠病毒。猫 / 犬冠状病毒本来就对人类无影响，当然不会因为猫狗感染过而帮助我们抵御其它冠状病毒。,155,丁香医生团队辟谣：养猫狗对身心健康有好处，但对预防新冠病毒感染没有帮助,0,161,,,养猫狗可以预防新冠病毒感染？
这一说法缺乏依据。银离子确实有一定的抑菌、杀菌效果，其原理是让蛋白酶失去活性，细菌无法完成代谢。此前有研究发现，银离子对 SARS 病毒可能有一定杀灭作用，但目前尚未证实银离子对新型冠状病毒有同样效果。,151,清华大学化学系孙亚飞博士：尚无权威机构证实银离子对新冠病毒的作用，不推荐只用这种办法消毒,0,160,,,银离子抗菌液能杀灭新冠病毒？
